Workload,Throughput_ops_sec,RSS_kb,CPU_percent,WallTime_sec
tectonic_ycsba,127190.57,256866.40,157.00,15.82
tectonic_ycsbb,124091.23,257908.00,153.40,16.22
tectonic_ycsbc,108985.88,247973.60,145.60,18.61
tectonic_ycsbd,97042.27,251055.20,143.60,20.70
tectonic_ycsbe,3106.73,249172.80,101.00,643.90
tectonic_ycsbf,534.90,314700.00,100.50,625.45
ycsb_a,62372.78,1952519.20,152.60,37.71
ycsb_b,63661.23,1966334.40,149.00,33.64
ycsb_c,66697.88,1979864.00,149.40,32.16
ycsb_d,76117.79,1974568.80,141.40,27.32
ycsb_e,42974.22,2134086.40,117.40,146.42
ycsb_f,55964.31,1962418.40,148.60,42.36